ball_num,comment,datetime
55.6,"Virat Kohli at the moment can run through the stone wall for his team. He is carrying the weight of a nation on his shoulder formidably well. But battles aren't won by a single individual, he needs the rest of the troops to show fight and character too. It?s high time, he and his think-tank sitting in the dressing room get their team combinations right after looking at the 22 yards. That's it from all of us for the coverage of this debut Test match at this venue. We can trust the traditional Boxing Day Test at the MCG to be as thrilling as the first two matches have been and you can trust us to bring you the best coverage. This is <b>Varun Dixit</b> signing off on behalf of <b>Ramakrishnan</b>, <b>KAD,</b> <b>Sriram, Abhinand </b>and <b>Venky</b>.","Dec 18, 2018 8:54:48 AM"
55.6,"Pat Cummins to Bumrah, <b>out</b> Caught&amp;Bowled!! It's a skier, Cummins calls for it, circles, circles under it and reverse cups it near the stumps at the non-striker's end. <b>Australia win by 146 runs and level the series 1-1</b>. A wonderful victory for the hosts. This was a short ball as expected, Bumrah pulls and top-edges it high in the air, Cummins has a good sight of it and takes a good catch to complete the game. <b>Bumrah c and b Pat Cummins 0(3)</b>","Dec 18, 2018 8:54:48 AM"
55.5,"Pat Cummins to Bumrah, no run, and again, short and rising, swing and a miss","Dec 18, 2018 8:53:49 AM"
55.4,"Pat Cummins to Bumrah, no run, Bumrah has a wild swing to this short ball and misses, smiles, wanted to hit that over the mid-wicket boundary","Dec 18, 2018 8:53:15 AM"
55.3,"Pat Cummins to Ishant, <b>out</b> Caught by Paine!! Paine catches and throws the ball up in the air and the finger goes up as well. Short ball on the stumps, Ishant backed away and tried to slash hard, no balance, so he wasn't in control of the shot, thin edge and Paine indeed was right. Australia just a wicket away now. <b>Ishant c Paine b Pat Cummins 0(5)</b>","Dec 18, 2018 8:51:53 AM"
55.2,"Pat Cummins to Ishant, no run, backs away and looks to swish it but misses","Dec 18, 2018 8:50:53 AM"
55.1,"Pat Cummins to Ishant, no run, stays behind the line of the ball and blocks it out into the on-side","Dec 18, 2018 8:50:11 AM"
55.1,"Pat Cummins to Ishant, <b>wide</b>, bangs the ball in and Ishant ducks under it. That goes well over the head","Dec 18, 2018 8:49:50 AM"
54.6,"Starc to U Yadav, <b>out</b> Caught&amp;Bowled!! Another one bites the dust. The bumper finishes it off. Yadav was backing away again and ended up spooning one back to the bowler. He tried fending it with all his might but could not succeed. India going down like a lead balloon. <b>U Yadav c and b Starc 2(23)</b>","Dec 18, 2018 8:45:52 AM"
54.5,"Starc to U Yadav, no run, right up there and has been blocked out into the off-side","Dec 18, 2018 8:45:12 AM"
